[2019-09-24 09:18:09,055][default:INFO(94)]--[master]:src:/Users/wan/Documents/spring/oibss/oibss/src/test
[2019-09-24 09:18:42,090][default:INFO(108)]--[master]:dest:/Users/wan/Documents/spring/xx
[2019-09-24 09:20:13,899][default:INFO(94)]--[master]:src:/Users/wan/Documents/spring/1
[2019-09-24 09:20:17,379][default:INFO(466)]--[errorcode]:开始对***00000错误码进行编码
[2019-09-24 09:20:17,380][default:INFO(467)]--[errorcode]:读取存量错误码信息
[2019-09-24 09:20:17,392][default:INFO(472)]--[errorcode]:扫描文件信息
[2019-09-24 09:20:17,393][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,393][default:INFO(310)]--[errorcode]:		succ("SOSCSGL021");

[2019-09-24 09:20:17,394][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,394][default:INFO(310)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:20:17,394][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,395][default:INFO(328)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:20:17,395][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,395][default:INFO(310)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:20:17,395][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,395][default:INFO(328)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:20:17,396][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,396][default:INFO(310)]--[errorcode]:		succ("SOSCSGL023");

[2019-09-24 09:20:17,396][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,396][default:INFO(310)]--[errorcode]:		succ("SOSCSGL024");

[2019-09-24 09:20:17,396][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,396][default:INFO(310)]--[errorcode]:			error("EOSCSGL021");

[2019-09-24 09:20:17,397][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,397][default:INFO(310)]--[errorcode]:				error("EOSCSGL024");

[2019-09-24 09:20:17,397][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,397][default:INFO(310)]--[errorcode]:			error("EOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:20:17,398][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,398][default:INFO(310)]--[errorcode]:			warn("WOSCS00000","fdasfaflkkkkkkkkkkk");

[2019-09-24 09:20:17,398][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,399][default:INFO(310)]--[errorcode]:		succ("SOSCSGL025");

[2019-09-24 09:20:17,399][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,399][default:INFO(310)]--[errorcode]:			error("EOSCSGL022");

[2019-09-24 09:20:17,399][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:20:17,399][default:INFO(310)]--[errorcode]:		succ("SOSCSGL026");

[2019-09-24 09:20:17,458][default:INFO(480)]--[errorcode]:将新生成的错误码信息写入文件作为变更的脚本...
[2019-09-24 09:20:17,459][default:INFO(395)]--[errorcode]:update SC_CODE_COUNT
[2019-09-24 09:20:17,461][default:INFO(497)]--[errorcode]:导出数据库文件...
[2019-09-24 09:23:28,549][default:INFO(466)]--[errorcode]:开始对***00000错误码进行编码
[2019-09-24 09:23:28,551][default:INFO(467)]--[errorcode]:读取存量错误码信息
[2019-09-24 09:23:28,552][default:INFO(472)]--[errorcode]:扫描文件信息
[2019-09-24 09:23:28,553][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,553][default:INFO(310)]--[errorcode]:		succ("SOSCSGL021");

[2019-09-24 09:23:28,553][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,553][default:INFO(310)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:23:28,554][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,554][default:INFO(328)]--[errorcode]:		succ("SOSCS00000"，"fdsafaflajl");

[2019-09-24 09:23:28,554][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,554][default:INFO(310)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:23:28,554][default:INFO(327)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,554][default:INFO(328)]--[errorcode]:		info("IOSCS00000"，"fdsafaflajl");

[2019-09-24 09:23:28,555][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,555][default:INFO(310)]--[errorcode]:		succ("SOSCSGL023");

[2019-09-24 09:23:28,555][default:INFO(309)]--[errorcode]:/Users/wan/Documents/spring/1/TermAccountService.java
[2019-09-24 09:23:28,555][default:INFO(310)]--[errorcode]:		succ("SOSCSGL024");

